1,1_M1,1606859083.1713321,1606859084.1726375
1,1_R0,1606859084.1759946,1606859086.1784465
3,3_M1,1606859097.1998286,1606859099.2017996
3,3_R1,1606859100.2060905,1606859102.2073255
3,3_R0,1606859100.205809,1606859105.2111554
